Durations,Credit history,Credit_Purpose,Credit amount,Installment_Rate_Percent,Other debtors / guarantors,Residence_Years,Property,Age in years,Other_Inst_Plans,Housing,Num_Existing_Credits,Job,Liable_People,Telephone,Foreign worker,Checking_Account_Status,Gender,Status,Years_Employments,Saving_Status
12,existing paid,new car,1168,4,none,3,real estate,27,none,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,1-3 years,less than 100
27,delayed previously,business,5117,3,none,4,car,26,none,own,2,skilled,1,none,yes,good,male,single,4-6 years,less than 100
12,existing paid,retraining,902,4,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad,male,mar/wid,4-6 years,less than 100
12,critical/other existing credit,new car,1495,4,none,1,real estate,38,none,own,2,unskilled_resident,2,none,yes,good,male,single,7 or more years,less than 100
30,critical/other existing credit,used car,10623,3,none,4,no known property,38,none,for free,3,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,furniture/equipment,1935,4,none,4,real estate,43,none,own,3,skilled,1,yes,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,domestic appliance,1424,4,none,3,life insurance,26,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
24,existing paid,business,6568,2,none,2,car,21,stores,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,1-3 years,less than 100
12,existing paid,used car,1413,3,none,2,life insurance,55,none,own,1,skilled,1,none,no,good,male,single,4-6 years,more than 1000
9,critical/other existing credit,radio/tv,3074,1,none,2,real estate,33,none,own,2,skilled,2,none,yes,good,male,single,1-3 years,no savings
36,existing paid,radio/tv,3835,2,none,4,real estate,45,none,own,1,unskilled_resident,1,yes,yes,good,female,div/dep/mar,7 or more years,no savings
27,no credits/all paid,business,5293,2,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad,male,single,unemployed,less than 100
30,delayed previously,business,1908,4,none,4,real estate,66,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,less than 100
36,critical/other existing credit,radio/tv,3342,4,none,2,car,51,none,own,1,skilled,1,yes,yes,good,male,single,7 or more years,no savings
6,critical/other existing credit,retraining,932,1,none,3,life insurance,39,none,own,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
18,no credits/all paid,business,3104,3,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
36,existing paid,radio/tv,3913,2,none,2,real estate,23,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
24,existing paid,furniture/equipment,3021,2,none,2,real estate,24,none,rent,1,unskilled_resident,1,none,yes,good,male,div/sep,1-3 years,less than 100
10,existing paid,new car,1364,2,none,4,car,64,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
12,existing paid,radio/tv,625,4,guarantor,1,real estate,26,bank,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,less than 1 year,less than 100
12,existing paid,education,1200,4,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,no savings
12,existing paid,radio/tv,707,4,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
24,delayed previously,business,2978,4,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good,male,single,1-3 years,no savings
15,existing paid,used car,4657,3,none,2,car,30,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
36,no credits/all paid,repairs,2613,4,none,2,car,27,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
48,existing paid,radio/tv,10961,1,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,bad,male,single,4-6 years,more than 1000
12,existing paid,furniture/equipment,7865,4,none,4,no known property,53,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,less than 100
9,existing paid,radio/tv,1478,4,none,2,car,22,none,own,1,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
24,existing paid,furniture/equipment,3149,4,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
36,existing paid,radio/tv,4210,4,none,2,car,26,none,own,1,skilled,1,none,yes,bad,male,single,1-3 years,less than 100
9,existing paid,new car,2507,2,none,4,no known property,51,none,for free,1,unskilled_resident,1,none,yes,good,male,single,7 or more years,500-1000
12,existing paid,radio/tv,2141,3,none,1,no known property,35,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,100-500
18,existing paid,radio/tv,866,4,guarantor,2,real estate,25,none,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,1-3 years,less than 100
4,critical/other existing credit,radio/tv,1544,2,none,1,real estate,42,none,own,3,unskilled_resident,2,none,yes,good,male,single,4-6 years,less than 100
24,existing paid,radio/tv,1823,4,none,2,car,30,stores,own,1,high_qualif_self_emp_mgmt,2,none,yes,bad,male,single,unemployed,less than 100
6,existing paid,new car,14555,1,none,2,life insurance,23,none,own,1,unemp_unskilled_non_res,1,yes,yes,bad,male,single,unemployed,no savings
21,existing paid,business,2767,4,none,2,car,61,bank,rent,2,unskilled_resident,1,none,yes,bad,male,div/sep,7 or more years,100-500
12,critical/other existing credit,radio/tv,1291,4,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
30,existing paid,radio/tv,2522,1,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good,male,single,7 or more years,less than 100
24,existing paid,new car,915,4,none,2,car,29,bank,own,1,skilled,1,none,yes,bad,female,div/dep/mar,7 or more years,no savings
6,existing paid,radio/tv,1595,3,none,2,life insurance,51,none,own,1,skilled,2,none,yes,good,male,single,4-6 years,less than 100
48,no credits/all paid,used car,4605,3,none,4,no known property,24,none,for free,2,skilled,2,none,yes,bad,male,single,7 or more years,less than 100
12,critical/other existing credit,business,1185,3,none,2,real estate,27,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
12,all paid,retraining,3447,4,none,3,real estate,35,none,own,1,unskilled_resident,2,none,yes,good,female,div/dep/mar,1-3 years,500-1000
24,existing paid,business,1258,4,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
12,critical/other existing credit,radio/tv,717,4,none,4,real estate,52,none,own,3,skilled,1,none,yes,good,male,single,7 or more years,less than 100
6,no credits/all paid,new car,1204,4,none,1,no known property,35,bank,rent,1,skilled,1,none,no,good,male,single,1-3 years,100-500
24,existing paid,furniture/equipment,1925,2,none,2,real estate,26,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
18,existing paid,radio/tv,433,3,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,unemployed,less than 100
6,critical/other existing credit,new car,666,3,none,4,real estate,39,none,own,2,unskilled_resident,1,yes,yes,good,female,div/dep/mar,4-6 years,more than 1000
12,existing paid,furniture/equipment,2251,1,none,2,car,46,none,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
30,existing paid,new car,2150,4,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,delayed previously,furniture/equipment,4151,2,none,3,life insurance,35,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,100-500
9,existing paid,furniture/equipment,2030,2,none,1,car,24,none,own,1,skilled,1,yes,yes,good,male,single,4-6 years,no savings
60,delayed previously,radio/tv,7418,1,none,1,real estate,27,none,own,1,unskilled_resident,1,none,yes,good,male,single,1-3 years,no savings
24,critical/other existing credit,radio/tv,2684,4,none,2,real estate,35,none,own,2,unskilled_resident,1,none,yes,good,male,single,1-3 years,less than 100
12,all paid,radio/tv,2149,4,none,1,no known property,29,none,for free,1,skilled,1,none,yes,bad,male,div/sep,1-3 years,less than 100
15,existing paid,used car,3812,1,none,4,car,23,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,100-500
11,critical/other existing credit,radio/tv,1154,4,none,4,real estate,57,none,own,3,unskilled_resident,1,none,yes,good,female,div/dep/mar,unemployed,100-500
12,existing paid,furniture/equipment,1657,2,none,2,real estate,27,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
24,existing paid,radio/tv,1603,4,none,4,car,55,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,7 or more years,less than 100
18,critical/other existing credit,new car,5302,2,none,4,no known property,36,none,for free,3,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,education,2748,2,none,4,no known property,57,bank,for free,3,unskilled_resident,1,none,yes,good,female,div/dep/mar,7 or more years,less than 100
10,critical/other existing credit,new car,1231,3,none,4,real estate,32,none,own,2,unskilled_resident,2,none,no,good,male,single,7 or more years,less than 100
15,existing paid,radio/tv,802,4,none,3,car,37,none,own,1,skilled,2,none,yes,bad,male,single,7 or more years,less than 100
36,critical/other existing credit,business,6304,4,none,4,real estate,36,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
24,existing paid,radio/tv,1533,4,none,3,car,38,stores,own,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
14,existing paid,new car,8978,1,none,4,life insurance,45,none,own,1,high_qualif_self_emp_mgmt,1,yes,no,bad,male,div/sep,7 or more years,less than 100
24,existing paid,radio/tv,999,4,none,2,car,25,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
18,existing paid,new car,2662,4,none,3,life insurance,32,none,own,1,skilled,1,none,no,good,male,single,4-6 years,no savings
12,critical/other existing credit,furniture/equipment,1402,3,none,4,car,37,none,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,4-6 years,500-1000
48,all paid,new car,12169,4,co applicant,4,no known property,36,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,no savings
48,existing paid,radio/tv,3060,4,none,4,real estate,28,none,own,2,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
30,existing paid,repairs,11998,1,none,1,no known property,34,none,own,1,unskilled_resident,1,yes,yes,bad,male,div/sep,less than 1 year,less than 100
9,existing paid,radio/tv,2697,1,none,2,real estate,32,none,own,1,skilled,2,none,yes,good,male,single,1-3 years,less than 100
18,critical/other existing credit,radio/tv,2404,2,none,2,car,26,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
12,existing paid,furniture/equipment,1262,2,none,4,life insurance,49,none,own,1,unskilled_resident,1,yes,yes,good,male,div/sep,7 or more years,no savings
6,existing paid,furniture/equipment,4611,1,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
24,existing paid,radio/tv,1901,4,none,4,car,29,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,100-500
15,critical/other existing credit,used car,3368,3,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good,male,single,7 or more years,more than 1000
12,existing paid,furniture/equipment,1574,4,none,2,real estate,50,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
18,all paid,radio/tv,1445,4,none,4,car,49,bank,own,1,unskilled_resident,1,none,yes,good,male,single,4-6 years,no savings
15,critical/other existing credit,furniture/equipment,1520,4,none,4,life insurance,63,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,no savings
24,critical/other existing credit,new car,3878,4,none,2,car,37,none,own,1,skilled,1,yes,yes,good,male,div/sep,less than 1 year,100-500
47,existing paid,new car,10722,1,none,1,real estate,35,none,own,1,unskilled_resident,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
48,existing paid,used car,4788,4,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good,male,single,4-6 years,less than 100
48,delayed previously,other,7582,2,none,4,no known property,31,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,100-500
12,existing paid,radio/tv,1092,4,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,delayed previously,radio/tv,1024,4,none,4,real estate,48,stores,own,1,skilled,1,none,yes,bad,male,mar/wid,less than 1 year,less than 100
12,existing paid,business,1076,2,none,2,real estate,26,none,own,1,skilled,1,yes,no,good,male,mar/wid,1-3 years,less than 100
36,existing paid,used car,9398,1,none,4,car,28,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,mar/wid,less than 1 year,less than 100
24,critical/other existing credit,used car,6419,2,none,4,no known property,44,none,for free,2,high_qualif_self_emp_mgmt,2,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
42,critical/other existing credit,used car,4796,4,none,4,no known property,56,none,for free,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
48,critical/other existing credit,business,7629,4,none,2,car,46,bank,own,2,high_qualif_self_emp_mgmt,2,none,yes,good,male,div/sep,7 or more years,no savings
48,existing paid,furniture/equipment,9960,1,none,2,car,26,none,own,1,skilled,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,used car,4675,1,none,4,car,20,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,no savings
10,existing paid,new car,1287,4,co applicant,2,life insurance,45,none,own,1,unskilled_resident,1,none,no,good,male,single,7 or more years,no savings
18,existing paid,furniture/equipment,2515,3,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
21,critical/other existing credit,furniture/equipment,2745,3,none,2,car,32,none,own,2,skilled,1,yes,yes,good,male,single,4-6 years,more than 1000
6,existing paid,new car,672,1,none,4,real estate,54,none,own,1,unemp_unskilled_non_res,1,yes,yes,good,female,div/dep/mar,unemployed,less than 100
36,no credits/all paid,radio/tv,3804,4,none,1,car,42,none,own,1,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,critical/other existing credit,new car,1344,4,none,2,real estate,37,bank,own,2,unskilled_resident,2,none,yes,bad,male,single,4-6 years,no savings
10,critical/other existing credit,new car,1038,4,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
48,critical/other existing credit,new car,10127,2,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,bad,male,single,1-3 years,500-1000
6,existing paid,furniture/equipment,1543,4,none,2,real estate,33,none,own,1,skilled,1,none,yes,good,male,div/sep,1-3 years,more than 1000
30,existing paid,used car,4811,2,none,4,life insurance,24,stores,rent,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
12,existing paid,radio/tv,727,4,none,3,no known property,33,none,own,1,unskilled_resident,1,yes,yes,bad,male,mar/wid,less than 1 year,100-500
8,existing paid,furniture/equipment,1237,3,none,4,real estate,24,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
9,existing paid,new car,276,4,none,4,real estate,22,none,rent,1,unskilled_resident,1,none,yes,good,male,mar/wid,1-3 years,less than 100
48,existing paid,other,5381,3,none,4,no known property,40,bank,for free,1,unemp_unskilled_non_res,1,yes,yes,good,male,single,unemployed,no savings
24,existing paid,furniture/equipment,5511,4,none,1,car,25,stores,own,1,skilled,1,none,yes,good,male,single,1-3 years,100-500
24,existing paid,furniture/equipment,3749,2,none,4,car,26,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,new car,685,2,none,3,car,25,bank,own,1,unskilled_resident,1,none,yes,bad,male,mar/wid,4-6 years,less than 100
4,existing paid,new car,1494,1,none,2,real estate,29,none,own,1,unskilled_resident,2,none,no,good,male,single,less than 1 year,no savings
36,all paid,furniture/equipment,2746,4,none,4,car,31,bank,own,1,skilled,1,none,yes,bad,male,single,7 or more years,less than 100
12,existing paid,furniture/equipment,708,2,guarantor,3,life insurance,38,none,own,1,unskilled_resident,2,none,yes,good,male,single,1-3 years,less than 100
24,existing paid,furniture/equipment,4351,1,none,4,life insurance,48,none,own,1,unskilled_resident,1,yes,yes,good,female,div/dep/mar,1-3 years,no savings
12,critical/other existing credit,education,701,4,none,2,car,32,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,less than 100
15,delayed previously,furniture/equipment,3643,1,none,4,life insurance,27,none,own,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,7 or more years,less than 100
30,critical/other existing credit,new car,4249,4,none,2,car,28,none,own,2,high_qualif_self_emp_mgmt,1,none,yes,bad,male,mar/wid,unemployed,less than 100
24,existing paid,radio/tv,1938,4,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad,male,div/sep,less than 1 year,less than 100
24,existing paid,used car,2910,2,none,1,no known property,34,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,4-6 years,less than 100
18,existing paid,furniture/equipment,2659,4,none,2,car,28,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,more than 1000
18,critical/other existing credit,new car,1028,4,none,3,real estate,36,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
8,critical/other existing credit,new car,3398,1,none,4,real estate,39,none,own,2,unskilled_resident,1,none,no,good,male,single,4-6 years,less than 100
12,critical/other existing credit,furniture/equipment,5801,2,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good,male,single,7 or more years,no savings
24,existing paid,new car,1525,4,none,3,car,34,none,own,1,skilled,2,yes,yes,good,female,div/dep/mar,4-6 years,more than 1000
36,existing paid,radio/tv,4473,4,none,2,car,31,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
6,existing paid,radio/tv,1068,4,none,4,car,28,none,own,1,skilled,2,none,yes,good,male,single,7 or more years,less than 100
24,critical/other existing credit,used car,6615,2,none,4,no known property,75,none,for free,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,less than 100
18,critical/other existing credit,education,1864,4,none,2,real estate,30,none,own,2,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,100-500
60,existing paid,new car,7408,4,none,2,life insurance,24,none,own,1,high_qualif_self_emp_mgmt,1,none,yes,bad,female,div/dep/mar,less than 1 year,100-500
48,critical/other existing credit,used car,11590,2,none,4,car,24,bank,rent,2,unskilled_resident,1,none,yes,bad,female,div/dep/mar,1-3 years,100-500
24,no credits/all paid,furniture/equipment,4110,3,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad,male,single,7 or more years,less than 100
6,critical/other existing credit,furniture/equipment,3384,1,none,4,real estate,44,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,div/sep,1-3 years,less than 100
13,existing paid,radio/tv,2101,2,guarantor,4,life insurance,23,none,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
15,existing paid,domestic appliance,1275,4,none,2,car,24,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,no savings
24,existing paid,furniture/equipment,4169,4,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
10,existing paid,furniture/equipment,1521,4,none,2,car,31,none,own,1,unskilled_resident,1,none,yes,good,male,div/sep,1-3 years,less than 100
24,critical/other existing credit,education,5743,2,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
21,existing paid,furniture/equipment,3599,1,none,4,car,26,none,rent,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
18,existing paid,radio/tv,3213,1,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good,male,mar/wid,less than 1 year,500-1000
18,existing paid,business,4439,1,co applicant,1,real estate,33,bank,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,less than 100
10,existing paid,new car,3949,1,guarantor,1,life insurance,37,none,own,1,unskilled_resident,2,none,yes,good,male,single,less than 1 year,less than 100
15,critical/other existing credit,radio/tv,1459,4,none,2,car,43,none,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
13,critical/other existing credit,radio/tv,882,4,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
24,existing paid,radio/tv,3758,1,none,4,no known property,23,none,rent,1,unemp_unskilled_non_res,1,none,yes,good,female,div/dep/mar,unemployed,500-1000
6,delayed previously,business,1743,1,none,2,real estate,34,none,own,2,unskilled_resident,1,none,yes,good,male,single,1-3 years,100-500
9,critical/other existing credit,education,1136,4,none,3,no known property,32,none,for free,2,skilled,2,none,yes,bad,male,single,7 or more years,more than 1000
9,existing paid,domestic appliance,1236,1,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
9,existing paid,furniture/equipment,959,1,none,2,car,29,none,own,1,skilled,1,none,no,bad,female,div/dep/mar,1-3 years,less than 100
18,critical/other existing credit,used car,3229,2,none,4,no known property,38,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,no savings
12,no credits/all paid,radio/tv,6199,4,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad,male,single,1-3 years,less than 100
10,existing paid,education,727,4,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good,male,single,7 or more years,500-1000
24,existing paid,new car,1246,4,none,2,real estate,23,stores,own,1,unskilled_resident,1,none,yes,bad,male,single,less than 1 year,less than 100
12,critical/other existing credit,radio/tv,2331,1,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good,male,single,7 or more years,no savings
36,delayed previously,radio/tv,4463,4,none,2,car,26,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,1-3 years,less than 100
12,existing paid,radio/tv,776,4,none,2,real estate,28,none,own,1,skilled,1,none,yes,good,male,mar/wid,1-3 years,less than 100
30,existing paid,furniture/equipment,2406,4,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,4-6 years,less than 100
18,existing paid,education,1239,4,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good,male,single,1-3 years,no savings
12,existing paid,radio/tv,3399,2,none,3,car,37,none,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,7 or more years,no savings
12,delayed previously,new car,2247,2,none,2,car,36,stores,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
6,existing paid,furniture/equipment,1766,1,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,good,male,mar/wid,1-3 years,less than 100
18,existing paid,furniture/equipment,2473,4,none,1,car,25,none,own,1,unemp_unskilled_non_res,1,none,yes,bad,male,single,unemployed,less than 100
12,existing paid,business,1542,2,none,4,car,36,none,own,1,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
18,critical/other existing credit,used car,3850,3,none,1,car,27,none,own,2,skilled,1,none,yes,good,male,single,4-6 years,less than 100
18,existing paid,furniture/equipment,3650,1,none,4,car,22,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
36,existing paid,furniture/equipment,3446,4,none,2,car,42,none,own,1,skilled,2,none,yes,bad,male,single,7 or more years,less than 100
18,existing paid,furniture/equipment,3001,2,none,4,real estate,40,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
36,existing paid,new car,3079,4,none,4,real estate,36,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,no savings
18,critical/other existing credit,radio/tv,6070,3,none,4,car,33,none,own,2,skilled,1,yes,yes,good,male,single,7 or more years,less than 100
10,critical/other existing credit,furniture/equipment,2146,1,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
60,critical/other existing credit,new car,13756,2,none,4,no known property,63,bank,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,no savings
60,all paid,other,14782,3,none,4,no known property,60,bank,for free,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,7 or more years,100-500
48,all paid,business,7685,2,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,4-6 years,less than 100
18,delayed previously,radio/tv,2320,2,none,3,real estate,34,none,own,2,skilled,1,none,yes,good,male,mar/wid,unemployed,less than 100
7,delayed previously,radio/tv,846,3,none,4,no known property,36,none,for free,1,skilled,1,none,yes,good,male,single,7 or more years,no savings
36,existing paid,new car,14318,4,none,2,no known property,57,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,less than 100
6,critical/other existing credit,new car,362,4,none,4,car,52,none,own,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,100-500
20,existing paid,furniture/equipment,2212,4,none,4,car,39,none,own,1,skilled,1,yes,yes,good,male,single,4-6 years,no savings
18,existing paid,used car,12976,3,none,4,no known property,38,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,unemployed,less than 100
22,existing paid,new car,1283,4,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
12,existing paid,new car,1330,4,none,1,real estate,26,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
30,delayed previously,business,4272,2,none,2,life insurance,26,none,own,2,unskilled_resident,1,none,yes,good,male,single,1-3 years,100-500
18,critical/other existing credit,radio/tv,2238,2,none,1,car,25,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
18,existing paid,radio/tv,1126,4,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good,female,div/dep/mar,less than 1 year,no savings
18,critical/other existing credit,furniture/equipment,7374,4,none,4,life insurance,40,stores,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,less than 100
15,critical/other existing credit,business,2326,2,none,4,car,27,bank,own,1,skilled,1,none,yes,good,male,single,1-3 years,500-1000
9,existing paid,business,1449,3,none,2,car,27,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
18,existing paid,new car,1820,2,none,2,life insurance,30,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,mar/wid,1-3 years,less than 100
12,existing paid,furniture/equipment,983,1,none,4,real estate,19,none,rent,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,less than 1 year,more than 1000
36,existing paid,new car,3249,2,none,4,no known property,39,bank,for free,1,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,4-6 years,less than 100
6,critical/other existing credit,radio/tv,1957,1,none,4,car,31,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
9,critical/other existing credit,furniture/equipment,2406,2,none,3,car,31,none,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,unemployed,less than 100
39,delayed previously,education,11760,2,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good,male,single,4-6 years,100-500
12,existing paid,furniture/equipment,2578,3,none,4,no known property,55,none,for free,1,high_qualif_self_emp_mgmt,1,none,yes,good,female,div/dep/mar,unemployed,less than 100
36,critical/other existing credit,furniture/equipment,2348,3,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,good,male,mar/wid,1-3 years,less than 100
12,existing paid,new car,1223,1,none,1,real estate,46,none,rent,2,skilled,1,none,yes,bad,male,div/sep,7 or more years,less than 100
24,critical/other existing credit,radio/tv,1516,4,none,1,real estate,43,none,own,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,more than 1000
18,existing paid,radio/tv,1473,3,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good,male,mar/wid,less than 1 year,less than 100
18,critical/other existing credit,business,1887,4,none,4,real estate,28,bank,own,2,skilled,1,none,yes,good,male,mar/wid,1-3 years,no savings
24,delayed previously,business,8648,2,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad,male,single,less than 1 year,less than 100
14,delayed previously,new car,802,4,none,2,car,27,none,own,2,unskilled_resident,1,none,yes,good,male,single,1-3 years,less than 100
